antibody,reweight
CP0590,1.247
GC0108,1.247
GC0112,1.247
GC0144,1.247
GC0147,1.247
GC0149,1.247
GC0152,1.247
GC0165,1.247
GC0182,1.247
GC0197,1.247
GC0204,0.3846
GC0208,1.247
GC0213,1.247
GC0216,1.247
GC0250,1.247
GC0258,1.247
GC0271,1.247
GC0297,1.247
GC0338,1.247
GC0342,1.247
GC0346,1.247
GC0350,1.247
GC0352,1.247
GC0353,1.247
GC0371,1.247
GC0372,1.247
GC0379,1.247
GC0380,1.247
GC0396,1.247
GC0407,1.247
GC0409,1.247
GC0413,0.3846
GC0414,0.3846
GC0415,0.3846
GC0416,0.3846
GC0417,0.3846
GC0418,0.3846
GC0419,0.3846
GC0420,1.247
GC0421,1.247
GC0422,0.3846
GC0423,0.3846
GC0424,0.3846
GC0425,0.3846
GC0426,0.3846
GC0427,0.3846
GC0428,0.3846
GC0429,0.3846
GC0430,0.3846
GC0431,0.3846
GC0432,0.3846
GC0434,0.3846
GC0435,0.3846
GC0437,0.3846
GC0438,0.3846
GC0439,0.3846
GC0440,0.3846
GC0441,0.3846
GC0442,0.3846
GC0443,0.3846
GC0444,0.3846
GC0445,0.3846
GC0447,0.3846
GC0448,0.3846
GC0449,0.3846
GC0450,0.3846
GC0451,0.3846
GC0452,0.3846
GC0453,0.3846
GC0454,0.3846
GC0455,0.3846
GC0456,0.3846
GC0457,0.3846
GC0458,0.3846
GC0459,0.3846
GC0460,0.3846
GC0461,0.3846
GC0463,0.3846
GC0464,0.3846
GC0465,0.3846
GC0466,0.3846
GC0467,0.3846
GC0468,1.247
GC0532,0.3846
GC0533,1.247
GC0538,1.247
GC0539,1.247
GC0540,1.247
GC0541,1.247
GC0542,1.247
GC0543,1.247
GC0547,1.247
GC0548,1.247
GC0551,0.3846
GC0552,1.247
GC0553,1.247
GC0554,1.247
GC0555,1.247
GC0556,1.247
GC0557,1.247
GC0558,1.247
GC0562,1.247
GC0563,1.247
GC0564,0.3846
GC0565,0.3846
GC0567,0.3846
GC0572,1.247
GC0573,1.247
GC0575,0.3846
GC0576,1.247
GC0577,1.247
GC0578,1.247
GC0580,1.247
GC0581,1.247
GC0583,0.3846
GC0585,1.247
GC0586,0.3846
GC0587,1.247
GC0590,0.3846
GC0591,1.247
GC0593,1.247
GC0594,1.247
GC0597,1.247
GC0606,1.247
GC0608,0.3846
GC0609,1.247
GC0610,1.247
GC0611,1.247
GC0613,0.3846
GC0618,1.247
GC0623,1.247
GC0624,0.3846
GC0628,1.247
GC0629,0.3846
GC0640,1.247
GC0645,0.3846
GC0646,0.3846
GC0647,0.3846
GC0658,0.3846
GC0660,0.3846
GC0664,0.3846
GC0669,1.247
GC0679,0.3846
GC0684,1.247
GC0685,1.247
GC0687,1.247
GC0689,0.3846
GC0690,0.3846
GC0691,0.3846
GC0693,0.3846
GC0695,1.247
GC0700,1.247
GC0702,1.247
GC0704,1.247
GC0706,1.247
GC0721,0.3846
GC0723,0.3846
GC0724,0.3846
GC0728,0.3846
GC0741,1.247
GC0742,0.3846
GC0743,0.3846
GC0744,0.3846
GC0745,0.3846
GC0746,0.3846
GC0747,0.3846
GC0748,0.3846
GC0749,1.247
GC0750,0.3846
GC0751,0.3846
GC0754,0.3846
GC0758,1.247
GC0762,1.247
GC0763,0.3846
GC0766,1.247
GC0772,1.247
GC0777,1.247
GC0784,1.247
GC0785,1.247
GC0787,0.3846
GC0791,1.247
GC0792,1.247
GC0793,1.247
GC0796,0.3846
GC0799,1.247
GC0800,1.247
GC0801,1.247
GC0802,1.247
GC0803,1.247
GC0805,0.3846
GC0808,1.247
GC0812,0.3846
GC0815,0.3846
GC0820,1.247
GC0822,0.3846
GC0829,0.3846
GC0830,0.3846
GC0832,1.247
GC0839,1.247
GC0841,1.247
GC0842,0.3846
GC0850,1.247
GC0852,0.3846
GC0858,1.247
GC0860,1.247
GC0861,1.247
GC0874,1.247
GC0875,1.247
GC0876,1.247
GC0877,1.247
GC0878,1.247
GC0881,1.247
GC1131,0.405
GC1132,0.405
GC1134,0.405
GC1135,0.405
GC1136,0.405
GC1137,0.405
GC1138,0.405
GC1139,0.405
GC1140,0.405
GC1141,0.405
GC1142,1.222
GC1143,0.405
GC1145,0.405
GC1146,0.405
GC1149,0.405
GC1150,0.405
GC1151,1.222
GC1152,0.405
GC1153,0.405
GC1154,1.222
GC1155,1.222
GC1156,1.222
GC1157,1.222
GC1158,1.222
GC1159,1.222
GC1161,1.222
GC1162,1.222
GC1163,1.222
GC1165,1.222
GC1166,1.222
GC1167,1.222
GC1169,1.222
GC1171,1.222
GC1172,1.222
GC1173,1.222
GC1174,1.222
GC1175,1.222
GC1176,1.222
GC1177,1.222
GC1178,1.222
GC1179,1.222
GC1180,1.222
GC1181,1.222
GC1182,1.222
GC1183,1.222
GC1184,1.222
GC1186,1.222
GC1187,1.222
GC1188,1.222
GC1189,1.222
GC1190,1.222
GC1191,1.222
GC1192,1.222
GC1193,1.222
GC1194,1.222
GC1196,1.222
GC1197,1.222
GC1198,1.222
GC1199,1.222
GC1200,1.222
GC1201,1.222
GC1202,1.222
GC1203,1.222
GC1205,1.222
GC1206,1.222
GC1207,1.222
GC1208,0.405
GC1209,1.222
GC1210,1.222
GC1211,1.222
GC1212,1.222
GC1213,1.222
GC1214,1.222
GC1215,1.222
GC1216,1.222
GC1217,1.222
GC1219,1.222
GC1220,1.222
GC1222,1.222
GC1223,1.222
GC1224,1.222
GC1226,1.222
GC1227,1.222
GC1228,1.222
GC1229,1.222
GC1230,1.222
GC1231,1.222
GC1233,1.222
GC1234,1.222
GC1236,1.222
GC1237,1.222
GC1238,1.222
GC1240,1.222
GC1241,1.222
GC1242,1.222
GC1244,1.222
GC1245,1.222
GC1246,1.222
GC1247,1.222
GC1248,1.222
GC1249,1.222
GC1250,1.222
GC1251,1.222
GC1252,1.222
GC1253,1.222
GC1254,1.222
GC1255,1.222
GC1256,1.222
GC1257,1.222
GC1258,1.222
GC1259,1.222
GC1260,1.222
GC1262,1.222
GC1264,1.222
GC1266,1.222
GC1267,1.222
GC1269,1.222
GC1270,1.222
GC1271,1.222
GC1275,1.222
GC1276,1.222
GC1277,1.222
GC1278,1.222
GC1279,1.222
GC1280,1.222
GC1281,1.222
GC1282,1.222
GC1284,1.222
GC1285,1.222
GC1286,1.222
GC1287,1.222
GC1288,1.222
GC1291,1.222
GC1292,1.222
GC1293,1.222
GC1294,1.222
GC1295,1.222
GC1296,1.222
GC1297,1.222
GC1298,1.222
GC1299,1.222
GC1300,1.222
GC1301,1.222
GC1302,1.222
GC1303,1.222
GC1304,1.222
GC1305,1.222
GC1306,1.222
GC1307,1.222
GC1310,1.222
GC1311,1.222
GC1313,1.222
GC1314,1.222
GC1316,1.222
GC1317,1.222
GC1318,1.222
GC1319,1.222
GC1320,1.222
GC1321,1.222
GC1322,1.222
GC1323,1.222
GC1324,1.222
GC1327,1.222
GC1328,1.222
GC1329,1.222
GC1330,0.405
GC1331,1.222
GC1335,1.222
GC1337,1.222
GC1338,0.405
GC1340,1.222
GC1341,0.405
GC1342,0.405
GC1344,0.405
GC1345,1.222
GC1346,0.405
GC1350,1.222
GC1351,0.405
GC1352,0.405
GC1354,0.405
GC1355,1.222
GC1356,0.405
GC1357,1.222
GC1358,0.405
GC1360,0.405
GC1361,0.405
GC1363,1.222
GC1364,1.222
GC1365,1.222
GC1366,0.405
GC1367,0.405
GC1369,0.405
GC1371,0.405
GC1372,1.222
GC1373,0.405
GC1374,0.405
GC1375,0.405
GC1376,0.405
GC1377,0.405
GC1378,1.222
GC1379,0.405
GC1381,0.405
GC1382,1.222
GC1383,0.405
GC1385,0.405
GC1386,0.405
GC1388,0.405
GC1389,0.405
GC1390,0.405
GC1394,1.222
GC1395,1.222
GC1397,1.222
GC1399,0.405
GC1400,0.405
GC1401,0.405
GC1402,0.405
GC1404,0.405
GC1405,0.405
GC1406,0.405
GC1408,1.222
GC1410,0.405
GC1411,0.405
GC1413,0.405
GC1415,0.405
GC1416,0.405
GC1418,0.405
GC1419,0.405
GC1420,0.405
GC1422,0.405
GC1425,0.405
GC1428,1.222
GC1430,0.8745
GC1431,0.7482
GC1432,0.8745
GC1433,0.8745
GC1434,0.7482
GC1435,0.8745
GC1436,0.8745
GC1437,0.7482
GC1438,0.7482
GC1439,0.8745
GC1440,0.8745
GC1441,0.8745
GC1442,0.8745
GC1443,1.478
GC1444,1.16
GC1445,0.8745
GC1446,0.8745
GC1447,1.16
GC1448,0.8745
GC1449,0.8745
GC1450,0.8745
GC1451,0.8745
GC1452,0.8745
GC1453,0.8745
GC1455,0.8745
GC1456,0.8745
GC1457,0.8745
GC1459,1.16
GC1460,1.16
GC1461,1.16
GC1462,0.8745
GC1463,1.478
GC1465,0.7482
GC1466,1.16
GC1467,1.478
GC1468,1.478
GC1469,0.8745
GC1470,1.16
GC1472,1.16
GC1473,1.16
GC1474,0.7482
GC1475,1.478
GC1476,1.478
GC1478,0.7482
GC1479,0.8745
GC1480,1.478
GC1481,1.16
GC1482,0.8745
GC1483,1.16
GC1485,0.7482
GC1488,1.478
GC1489,1.478
GC1490,1.478
GC1492,1.478
GC1493,0.7482
GC1494,0.8745
GC1495,1.478
GC1496,1.478
GC1497,0.7482
GC1498,0.7482
GC1500,1.16
GC1501,1.478
GC1502,1.16
GC1504,1.16
GC1507,1.478
GC1509,0.7482
GC1510,0.8745
GC1512,1.478
GC1513,1.478
GC1514,0.7482
GC1515,1.16
GC1516,0.7482
GC1518,1.16
GC1519,1.478
GC1520,0.7482
GC1524,0.7482
GC1525,1.16
GC1526,1.478
GC1527,0.7482
GC1528,0.8745
GC1529,1.16
GC1530,1.16
GC1531,0.7482
GC1532,0.8745
GC1533,0.8745
GC1534,0.8745
GC1535,1.16
GC1536,0.7482
GC1537,1.16
GC1538,1.16
GC1539,1.478
GC1540,1.16
GC1541,0.8745
GC1543,0.8745
GC1544,0.8745
GC1545,1.16
GC1547,0.8745
GC1548,1.478
GC1551,0.8745
GC1552,1.478
GC1553,0.8745
GC1554,1.16
GC1555,1.478
GC1556,1.16
GC1557,0.7482
GC1558,1.478
GC1560,0.7482
GC1561,1.478
GC1562,1.478
GC1563,1.16
GC1564,1.16
GC1565,0.7482
GC1566,0.7482
GC1568,0.8745
GC1569,1.478
GC1570,1.16
GC1571,0.8745
GC1572,1.16
GC1573,0.7482
GC1574,1.16
GC1575,1.16
GC1576,1.16
GC1577,0.8745
GC1578,1.478
GC1579,1.478
GC1580,1.16
GC1581,1.478
GC1582,1.16
GC1584,1.16
GC1586,0.8745
GC1587,1.16
GC1588,1.16
GC1589,0.8745
GC1590,1.16
GC1591,0.8745
GC1595,1.478
GC1596,1.478
GC1598,0.8745
GC1599,1.478
GC1600,0.8745
GC1601,0.7482
GC1603,1.16
GC1604,1.16
GC1605,1.16
GC1606,1.16
GC1607,1.478
GC1608,1.16
GC1609,1.16
GC1610,1.16
GC1611,1.478
GC1613,1.16
GC1614,1.16
GC1616,0.8745
GC1617,0.8745
GC1618,0.8745
GC1619,1.16
GC1620,1.16
GC1621,1.478
GC1622,1.478
GC1623,0.8745
GC1624,1.478
GC1627,1.478
GC1629,0.8745
GC1630,0.7482
GC1631,0.8745
GC1632,1.16
GC1634,0.8745
GC1635,0.7482
GC1636,0.8745
GC1637,0.8745
GC1640,0.8745
GC1641,0.7482
GC1642,0.8745
GC1643,0.8745
GC1644,0.8745
GC1645,1.16
GC1646,0.7482
GC1647,1.478
GC1651,0.8745
GC1652,0.7482
GC1653,0.7482
GC1655,0.7482
GC1658,1.16
GC1659,0.7482
GC1661,0.7482
GC1662,0.7482
GC1663,1.478
GC1664,0.7482
GC1666,0.7482
GC1667,0.7482
GC1668,0.7482
GC1669,0.7482
GC1670,0.7482
GC1671,0.8745
GC1672,0.7482
GC1673,0.7482
GC1674,0.7482
GC1675,1.16
GC1677,0.7482
GC1678,0.7482
GC1680,1.16
GC1681,0.8745
GC1682,0.7482
GC1683,0.7482
GC1684,0.7482
GC1685,0.7482
GC1686,0.7482
GC1687,0.7482
GC1688,0.7482
GC1689,0.7482
GC1690,0.7482
GC1691,1.478
GC1692,0.7482
GC1693,0.7482
GC1694,0.8745
GC1696,0.8745
GC1697,0.7482
GC1699,0.8745
GC1700,0.8745
GC1701,0.7482
GC1702,0.7482
GC1704,0.8745
GC1705,0.7482
GC1706,1.16
GC1707,0.8745
GC1708,0.8745
GC1709,1.16
GC1710,0.7482
GC1712,0.7482
GC1713,1.478
GC1714,0.7482
GC1715,0.7482
GC1716,1.478
GC1718,0.7482
GC1719,0.8745
GC1720,0.7482
GC1721,1.478
GC1722,1.16
GC1723,0.7482
GC1724,1.16
GC1725,1.478
GC1726,1.478
GC1727,1.16
GC1728,1.16
GC1730,0.7482
GC1731,1.478
GC1732,1.478
GC1733,1.16
GC1734,0.8745
GC1736,1.478
GC1737,1.478
GC1738,1.16
GC1739,0.7482
GC1741,0.7482
GC1743,0.8745
GC1744,1.478
GC1745,1.16
GC1746,1.478
GC1747,0.7482
GC1748,0.7482
GC1749,0.7482
GC1750,1.478
GC1751,0.7482
GC1752,1.478
GC1753,0.8745
GC1754,0.7482
GC1755,0.7482
GC1756,1.478
GC1757,0.8745
GC1758,0.7482
GC1759,0.7482
GC1760,0.7482
GC1761,0.7482
GC1762,0.8745
GC1763,0.8745
GC1764,0.7482
GC1765,0.7482
GC1766,0.7482
GC1768,0.7482
GC1769,0.8745
GC1770,0.7482
GC1771,1.16
GC1772,1.478
GC1773,0.7482
GC1775,0.7482
GC1776,0.7482
GC1777,0.8745
GC1778,0.7482
GC1780,0.7482
GC1783,0.7482
GC1787,0.8745
GC1788,0.8745
GC1789,0.7482
GC1790,0.7482
GC1791,0.7482
GC1792,0.7482
GC1793,0.8745
GC1794,1.16
GC1795,0.8745
GC1796,0.7482
GC1797,0.8745
GC1798,0.8745
GC1799,0.7482
GC1800,1.478
GC1801,0.7482
GC1804,1.16
GC1805,0.8745
GC1807,1.16
GC1808,0.8745
GC1809,0.8745
GC1810,0.8745
GC1811,0.8745
GC1812,1.16
GC1813,0.8745
GC1814,0.8745
GC1815,0.8745
GC1816,0.8745
GC1817,0.8745
GC1819,1.16
GC1821,1.16
GC1823,0.7482
GC1824,0.8745
GC1825,0.7482
GC1826,0.8745
GC1827,0.8745
GC1828,0.8745
GC1830,0.7482
GC1832,1.16
GC1833,1.478
GC1835,1.478
GC1836,1.16
GC1837,1.478
GC1838,1.478
GC1839,0.8745
GC1843,0.7482
GC1844,0.8745
GC1845,0.8745
GC1846,1.478
GC1847,1.478
GC1848,1.478
GC1849,1.478
GC1850,1.16
GC1851,1.16
GC1852,0.8745
GC1853,1.16
GC1854,0.8745
GC1856,0.7482
GC1857,1.478
GC1858,0.7482
GC1859,0.8745
GC1860,1.478
GC1861,0.7482
GC1863,1.478
GC1864,1.16
GC1865,0.7482
GC1866,0.8745
GC1867,0.7482
GC1868,1.16
GC1869,0.7482
GC1870,0.7482
GC1871,0.7482
GC1872,1.16
GC1873,0.7482
GC1874,0.7482
GC1875,0.8745
GC1876,0.7482
GC1877,0.7482
GC1878,1.16
GC1879,1.478
GC1880,0.7482
GC1881,0.7482
GC1882,0.7482
GC1883,0.7482
GC1884,0.7482
GC1886,0.8745
GC1888,0.7482
GC1889,0.8745
GC1890,1.478
GC1891,1.16
GC1893,0.8745
GC1894,0.8745
GC1895,0.7482
GC1896,0.7482
GC1897,1.478
GC1898,0.7482
GC1900,0.7482
GC1901,0.7482
GC1902,1.16
GC1903,0.8745
GC1904,0.8745
GC1905,0.8745
GC1907,0.7482
GC1908,0.7482
GC1912,0.7482
GC1914,0.8745
GC1915,1.16
GC1916,1.478
GC1918,0.8745
GC1919,0.7482
GC1920,0.7482
GC1921,1.478
GC1922,0.7482
GC1923,0.7482
GC1924,1.478
GC1926,0.7482
GC1927,0.7482
GC1928,0.7482
GC1929,1.478
GC1931,1.478
GC1934,0.7482
GC1936,0.7482
GC1937,0.7482
GC1938,1.16
GC1939,0.7482
GC1940,1.16
GC1941,1.16
GC1942,1.478
GC1943,1.16
GC1944,1.478
GC1945,1.16
GC1946,1.478
GC1948,1.478
GC1950,1.478
GC1951,0.7482
GC1954,1.478
GC1955,1.16
GC1956,1.478
GC1958,0.8745
GC1962,0.8745
GC1963,0.7482
GC1964,1.478
GC1965,0.7482
GC1966,0.7482
GC1967,0.7482
GC1969,1.16
GC1970,0.8745
GC1972,0.8745
GC1973,0.7482
GC1974,0.7482
GC1975,0.7482
GC1976,1.478
GC1977,0.8745
GC1979,0.7482
GC1980,0.8745
GC1981,0.8745
GC1982,0.7482
GC1985,0.7482
GC1986,0.7482
GC1988,1.16
GC1989,0.7482
GC1990,0.7482
GC1991,0.7482
GC1992,0.7482
GC1993,0.7482
GC1994,0.7482
GC1995,0.7482
GC1996,0.7482
GC1997,0.7482
GC1998,0.7482
GC2000,0.7482
GC2001,0.7482
GC2002,0.7482
GC2003,0.7482
GC2004,0.7482
GC2005,0.7482
GC2006,0.7482
GC2007,0.7482
GC2008,0.8745
GC2009,0.7482
GC2010,0.8745
GC2011,0.7482
GC2012,0.7482
GC2013,0.7482
GC2014,0.8745
GC2016,0.7482
GC2017,0.7482
GC2018,1.16
GC2019,0.7482
GC2020,1.16
GC2022,0.7482
GC2023,0.7482
GC2028,0.7482
GC2029,0.8745
GC2030,0.7482
GC2031,0.7482
GC2032,0.7482
GC2034,0.7482
GC2035,0.8745
GC2037,0.7482
GC2038,0.8745
GC2039,0.7482
GC2041,1.16
GC2042,0.8745
GC2043,1.16
GC2044,1.16
GC2045,1.16
GC2047,0.8745
GC2048,1.16
GC2049,1.16
GC2051,1.16
GC2052,1.478
GC2053,1.16
GC2054,1.478
GC2057,1.478
GC2058,0.8745
GC2059,1.478
